date,station,cargo_tons,wagons_required,station_congestion
2025-03-11,Tunduma,1516,23,0.38
2025-03-11,Mbeya,989,15,0.16
2025-03-11,Makambako,1283,20,0.64
2025-03-11,Morogoro,1299,20,0.7
2025-03-11,Dar es Salaam,1984,31,0.58
2025-03-12,Kapiri Mposhi,1705,26,0.15
2025-03-12,Serenje,3110,48,0.76
2025-03-12,Mpika,1114,17,0.1
2025-03-12,Nakonde,2247,35,0.47
2025-03-12,Tunduma,1044,16,0.44
2025-03-12,Mbeya,433,6,0.52
2025-03-12,Makambako,1792,27,0.28
2025-03-12,Morogoro,2576,40,0.64
2025-03-12,Dar es Salaam,2387,37,0.79
2025-03-13,Kapiri Mposhi,1653,25,0.85
2025-03-13,Serenje,1499,23,0.61
2025-03-13,Mpika,2544,39,0.32
2025-03-13,Nakonde,2195,34,0.35
2025-03-13,Tunduma,1115,17,0.82
2025-03-13,Mbeya,2926,45,0.26
2025-03-13,Makambako,1401,21,0.67
2025-03-13,Morogoro,2707,42,0.79
2025-03-13,Dar es Salaam,2447,38,0.23
2025-03-14,Kapiri Mposhi,1650,25,0.79
2025-03-14,Serenje,1052,16,0.72
2025-03-14,Mpika,2582,40,0.52
2025-03-14,Nakonde,832,12,0.2
2025-03-14,Tunduma,1275,19,0.83
2025-03-14,Mbeya,870,13,0.59
2025-03-14,Makambako,1061,16,0.49
2025-03-14,Morogoro,2003,31,0.3
2025-03-14,Dar es Salaam,1053,16,0.26
2025-03-15,Kapiri Mposhi,1693,26,0.23
2025-03-15,Serenje,1689,26,0.36
2025-03-15,Mpika,2145,33,0.45
2025-03-15,Nakonde,1784,27,0.46
2025-03-15,Tunduma,477,7,0.47
2025-03-15,Mbeya,2976,46,0.41
2025-03-15,Makambako,2173,33,0.88
2025-03-15,Morogoro,598,9,0.33
2025-03-15,Dar es Salaam,2089,32,0.71
2025-03-16,Kapiri Mposhi,3018,46,0.72
2025-03-16,Serenje,2209,34,0.68
2025-03-16,Mpika,1817,28,0.22
2025-03-16,Nakonde,2570,39,0.11
2025-03-16,Tunduma,2103,32,0.59
2025-03-16,Mbeya,1305,20,0.72
2025-03-16,Makambako,696,10,0.36
2025-03-16,Morogoro,387,6,0.53
2025-03-16,Dar es Salaam,2664,41,0.38
2025-03-17,Kapiri Mposhi,3176,49,0.39
2025-03-17,Serenje,501,7,0.65
2025-03-17,Mpika,570,8,0.26
2025-03-17,Nakonde,1529,23,0.64
2025-03-17,Tunduma,2830,43,0.61
2025-03-17,Mbeya,2948,45,0.82
2025-03-17,Makambako,3038,47,0.85
2025-03-17,Morogoro,2242,34,0.34
2025-03-17,Dar es Salaam,1309,20,0.8
2025-03-18,Kapiri Mposhi,2598,40,0.6
2025-03-18,Serenje,1816,28,0.37
2025-03-18,Mpika,710,11,0.49
2025-03-18,Nakonde,978,15,0.82
2025-03-18,Tunduma,1547,23,0.58
2025-03-18,Mbeya,414,6,0.46
2025-03-18,Makambako,1050,16,0.13
2025-03-18,Morogoro,1514,23,0.45
2025-03-18,Dar es Salaam,3142,48,0.62
2025-03-19,Kapiri Mposhi,2403,37,0.8
2025-03-19,Serenje,3190,49,0.36
2025-03-19,Mpika,1355,20,0.37
2025-03-19,Nakonde,2877,44,0.8
2025-03-19,Tunduma,1284,19,0.13
2025-03-19,Mbeya,2957,45,0.68
2025-03-19,Makambako,1241,19,0.37
2025-03-19,Morogoro,789,12,0.88
2025-03-19,Dar es Salaam,2632,40,0.42
2025-03-20,Kapiri Mposhi,962,14,0.16
2025-03-20,Serenje,2951,45,0.26
2025-03-20,Mpika,1554,24,0.47
2025-03-20,Nakonde,2648,40,0.68
2025-03-20,Tunduma,1624,25,0.78
2025-03-20,Mbeya,1054,16,0.69
2025-03-20,Makambako,1623,25,0.13
2025-03-20,Morogoro,2602,40,0.51
2025-03-20,Dar es Salaam,2034,31,0.68
2025-03-21,Kapiri Mposhi,2375,36,0.58
2025-03-21,Serenje,2253,34,0.73
2025-03-21,Mpika,768,11,0.32
2025-03-21,Nakonde,2192,33,0.33
2025-03-21,Tunduma,1211,18,0.27
2025-03-21,Mbeya,1073,16,0.61
2025-03-21,Makambako,1414,21,0.67
2025-03-21,Morogoro,1005,15,0.24
2025-03-21,Dar es Salaam,1603,24,0.4
2025-03-22,Kapiri Mposhi,389,6,0.24
2025-03-22,Serenje,1103,17,0.3
2025-03-22,Mpika,2786,43,0.42
2025-03-22,Nakonde,405,6,0.51
2025-03-22,Tunduma,2989,46,0.63
2025-03-22,Mbeya,1472,22,0.62
2025-03-22,Makambako,3031,46,0.42
2025-03-22,Morogoro,2010,31,0.11
2025-03-22,Dar es Salaam,2295,35,0.72
2025-03-23,Kapiri Mposhi,777,12,0.29
2025-03-23,Serenje,1204,18,0.24
2025-03-23,Mpika,2972,45,0.46
2025-03-23,Nakonde,1504,23,0.22
2025-03-23,Tunduma,3214,49,0.3
2025-03-23,Mbeya,2600,40,0.86
2025-03-23,Makambako,1134,17,0.39
2025-03-23,Morogoro,2083,32,0.13
2025-03-23,Dar es Salaam,2924,45,0.39
2025-03-24,Kapiri Mposhi,2535,39,0.74
2025-03-24,Serenje,2191,33,0.79
2025-03-24,Mpika,1191,18,0.53
2025-03-24,Nakonde,2903,44,0.32
2025-03-24,Tunduma,1644,25,0.52
2025-03-24,Mbeya,1741,26,0.14
2025-03-24,Makambako,3198,49,0.28
2025-03-24,Morogoro,1792,27,0.35
2025-03-24,Dar es Salaam,1696,26,0.57
2025-03-25,Kapiri Mposhi,1732,26,0.22
2025-03-25,Serenje,1997,30,0.65
2025-03-25,Mpika,551,8,0.86
2025-03-25,Nakonde,1956,30,0.56
2025-03-25,Tunduma,1580,24,0.63
2025-03-25,Mbeya,3241,49,0.12
2025-03-25,Makambako,787,12,0.66
2025-03-25,Morogoro,1545,23,0.64
2025-03-25,Dar es Salaam,3027,46,0.25
2025-03-26,Kapiri Mposhi,1705,26,0.64
2025-03-26,Serenje,2182,33,0.79
2025-03-26,Mpika,499,7,0.3
2025-03-26,Nakonde,1872,28,0.86
2025-03-26,Tunduma,2976,45,0.11
2025-03-26,Mbeya,781,12,0.56
2025-03-26,Makambako,1151,17,0.19
2025-03-26,Morogoro,836,12,0.65
2025-03-26,Dar es Salaam,2090,32,0.63
2025-03-27,Kapiri Mposhi,2113,32,0.62
2025-03-27,Serenje,1700,26,0.58
2025-03-27,Mpika,1135,17,0.88
2025-03-27,Nakonde,1833,28,0.8
2025-03-27,Tunduma,1023,15,0.19
2025-03-27,Mbeya,1029,15,0.84
2025-03-27,Makambako,413,6,0.75
2025-03-27,Morogoro,1688,26,0.35
2025-03-27,Dar es Salaam,2192,33,0.75
2025-03-28,Kapiri Mposhi,2165,33,0.34
2025-03-28,Serenje,979,15,0.1
2025-03-28,Mpika,1312,20,0.55
2025-03-28,Nakonde,2333,35,0.58
2025-03-28,Tunduma,1344,20,0.4
2025-03-28,Mbeya,2940,45,0.11
2025-03-28,Makambako,1638,25,0.47
2025-03-28,Morogoro,1722,26,0.53
2025-03-28,Dar es Salaam,2303,35,0.48
2025-03-29,Kapiri Mposhi,1919,29,0.19
2025-03-29,Serenje,1892,29,0.42
2025-03-29,Mpika,2680,41,0.59
2025-03-29,Nakonde,1615,24,0.54
2025-03-29,Tunduma,1546,23,0.52
2025-03-29,Mbeya,415,6,0.26
2025-03-29,Makambako,1707,26,0.82
2025-03-29,Morogoro,1880,28,0.86
2025-03-29,Dar es Salaam,2764,42,0.84
2025-03-30,Kapiri Mposhi,809,12,0.85
2025-03-30,Serenje,999,15,0.26
2025-03-30,Mpika,2153,33,0.49
2025-03-30,Nakonde,873,13,0.33
2025-03-30,Tunduma,2589,39,0.74
2025-03-30,Mbeya,2561,39,0.35
2025-03-30,Makambako,2265,34,0.67
2025-03-30,Morogoro,391,6,0.32
2025-03-30,Dar es Salaam,3167,48,0.2
2025-03-31,Kapiri Mposhi,2061,31,0.64
2025-03-31,Serenje,1770,27,0.52
2025-03-31,Mpika,967,14,0.31
2025-03-31,Nakonde,435,6,0.44
2025-03-31,Tunduma,2727,41,0.75
2025-03-31,Mbeya,1943,29,0.13
2025-03-31,Makambako,2190,33,0.19
2025-03-31,Morogoro,3234,49,0.58
2025-03-31,Dar es Salaam,2079,32,0.81
2025-04-01,Kapiri Mposhi,1065,16,0.62
2025-04-01,Serenje,1667,25,0.43
2025-04-01,Mpika,2547,39,0.82
2025-04-01,Nakonde,3248,49,0.38
2025-04-01,Tunduma,1505,23,0.72
2025-04-01,Mbeya,453,6,0.69
2025-04-01,Makambako,578,8,0.71
2025-04-01,Morogoro,2290,35,0.57
2025-04-01,Dar es Salaam,2449,37,0.69
2025-04-02,Kapiri Mposhi,2013,30,0.48
2025-04-02,Serenje,1249,19,0.12
2025-04-02,Mpika,1673,25,0.26
2025-04-02,Nakonde,2399,36,0.29
2025-04-02,Tunduma,1819,28,0.58
2025-04-02,Mbeya,1585,24,0.89
2025-04-02,Makambako,2763,42,0.58
2025-04-02,Morogoro,2440,37,0.44
2025-04-02,Dar es Salaam,1687,25,0.37
2025-04-03,Kapiri Mposhi,2473,38,0.68
2025-04-03,Serenje,1936,29,0.72
2025-04-03,Mpika,435,6,0.17
2025-04-03,Nakonde,847,13,0.58
2025-04-03,Tunduma,483,7,0.36
2025-04-03,Mbeya,2877,44,0.37
2025-04-03,Makambako,1308,20,0.45
2025-04-03,Morogoro,1631,25,0.74
2025-04-03,Dar es Salaam,596,9,0.53
2025-04-04,Kapiri Mposhi,2644,40,0.62
2025-04-04,Serenje,463,7,0.37
2025-04-04,Mpika,1888,29,0.9
2025-04-04,Nakonde,1991,30,0.9
2025-04-04,Tunduma,2331,35,0.47
2025-04-04,Mbeya,1248,19,0.55
2025-04-04,Makambako,2817,43,0.61
2025-04-04,Morogoro,1710,26,0.24
2025-04-04,Dar es Salaam,1211,18,0.76
2025-04-05,Kapiri Mposhi,1242,19,0.34
2025-04-05,Serenje,2571,39,0.41
2025-04-05,Mpika,840,12,0.88
2025-04-05,Nakonde,1207,18,0.89
2025-04-05,Tunduma,2041,31,0.53
2025-04-05,Mbeya,760,11,0.52
2025-04-05,Makambako,981,15,0.7
2025-04-05,Morogoro,1928,29,0.59
2025-04-05,Dar es Salaam,2368,36,0.67
2025-04-06,Kapiri Mposhi,1013,15,0.28
2025-04-06,Serenje,2469,38,0.4
2025-04-06,Mpika,3000,46,0.29
2025-04-06,Nakonde,2813,43,0.76
2025-04-06,Tunduma,2630,40,0.46
2025-04-06,Mbeya,792,12,0.23
2025-04-06,Makambako,915,14,0.5
2025-04-06,Morogoro,832,12,0.55
2025-04-06,Dar es Salaam,705,10,0.27
2025-04-07,Kapiri Mposhi,1116,17,0.19
2025-04-07,Serenje,1159,17,0.6
2025-04-07,Mpika,2587,39,0.68
2025-04-07,Nakonde,1619,24,0.75
2025-04-07,Tunduma,906,13,0.42
2025-04-07,Mbeya,557,8,0.28
2025-04-07,Makambako,2741,42,0.56
2025-04-07,Morogoro,733,11,0.76
2025-04-07,Dar es Salaam,1417,21,0.48
2025-04-08,Kapiri Mposhi,2092,32,0.84
2025-04-08,Serenje,2732,42,0.21
2025-04-08,Mpika,1455,22,0.76
2025-04-08,Nakonde,2933,45,0.76
2025-04-08,Tunduma,2564,39,0.39
2025-04-08,Mbeya,1639,25,0.21
2025-04-08,Makambako,2470,38,0.16
2025-04-08,Morogoro,554,8,0.45
2025-04-08,Dar es Salaam,1092,16,0.5
2025-04-09,Kapiri Mposhi,2570,39,0.32
2025-04-09,Serenje,893,13,0.1
2025-04-09,Mpika,443,6,0.6
2025-04-09,Nakonde,1794,27,0.39
2025-04-09,Tunduma,2387,36,0.72
2025-04-09,Mbeya,1220,18,0.49
2025-04-09,Makambako,1283,19,0.15
2025-04-09,Morogoro,1789,27,0.34
2025-04-09,Dar es Salaam,1663,25,0.29
2025-04-10,Kapiri Mposhi,1843,28,0.16
2025-04-10,Serenje,1917,29,0.34
2025-04-10,Mpika,1532,23,0.24
2025-04-10,Nakonde,906,13,0.15
2025-04-10,Tunduma,2716,41,0.9
2025-04-10,Mbeya,3174,48,0.59
2025-04-10,Makambako,1450,22,0.24
2025-04-10,Morogoro,932,14,0.52
2025-04-10,Dar es Salaam,2344,36,0.81
2025-04-11,Kapiri Mposhi,2458,37,0.62
2025-04-11,Serenje,3160,48,0.49
2025-04-11,Mpika,2674,41,0.41
2025-04-11,Nakonde,1048,16,0.3
2025-04-11,Tunduma,2458,37,0.49
2025-04-11,Mbeya,1348,20,0.31
2025-04-11,Makambako,2864,44,0.53
2025-04-11,Morogoro,3125,48,0.36
2025-04-11,Dar es Salaam,2991,46,0.29
2025-04-12,Kapiri Mposhi,3004,46,0.87
2025-04-12,Serenje,599,9,0.4
2025-04-12,Mpika,1030,15,0.54
2025-04-12,Nakonde,1297,20,0.5
2025-04-12,Tunduma,2707,41,0.18
2025-04-12,Mbeya,2629,40,0.79
2025-04-12,Makambako,1195,18,0.69
2025-04-12,Morogoro,1350,20,0.75
2025-04-12,Dar es Salaam,2277,35,0.79
2025-04-13,Kapiri Mposhi,3063,47,0.86
2025-04-13,Serenje,522,8,0.18
2025-04-13,Mpika,895,13,0.85
2025-04-13,Nakonde,1126,17,0.16
2025-04-13,Tunduma,1837,28,0.77
2025-04-13,Mbeya,1407,21,0.76
2025-04-13,Makambako,1368,21,0.63
2025-04-13,Morogoro,489,7,0.81
2025-04-13,Dar es Salaam,1494,23,0.81
2025-04-14,Kapiri Mposhi,2248,34,0.89
2025-04-14,Serenje,3146,48,0.64
2025-04-14,Mpika,1478,22,0.13
2025-04-14,Nakonde,499,7,0.67
2025-04-14,Tunduma,914,14,0.18
2025-04-14,Mbeya,2544,39,0.51
2025-04-14,Makambako,686,10,0.38
2025-04-14,Morogoro,859,13,0.89
2025-04-14,Dar es Salaam,950,14,0.72
2025-04-15,Kapiri Mposhi,2213,34,0.73
2025-04-15,Serenje,1113,17,0.24
2025-04-15,Mpika,2045,31,0.54
2025-04-15,Nakonde,3018,46,0.71
2025-04-15,Tunduma,2122,32,0.44
2025-04-15,Mbeya,1667,25,0.51
2025-04-15,Makambako,1996,30,0.73
2025-04-15,Morogoro,851,13,0.6
2025-04-15,Dar es Salaam,1630,25,0.2
2025-04-16,Kapiri Mposhi,2468,38,0.16
2025-04-16,Serenje,665,10,0.52
2025-04-16,Mpika,630,9,0.82
2025-04-16,Nakonde,2711,42,0.74
2025-04-16,Tunduma,1227,19,0.48
2025-04-16,Mbeya,1379,21,0.58
2025-04-16,Makambako,2601,40,0.84
2025-04-16,Morogoro,2078,32,0.59
2025-04-16,Dar es Salaam,1998,30,0.2
2025-04-17,Kapiri Mposhi,1394,21,0.19
2025-04-17,Serenje,2562,39,0.4
2025-04-17,Mpika,1475,22,0.45
2025-04-17,Nakonde,2968,46,0.2
2025-04-17,Tunduma,1269,19,0.11
2025-04-17,Mbeya,3182,49,0.75
2025-04-17,Makambako,435,6,0.78
2025-04-17,Morogoro,2005,31,0.54
2025-04-17,Dar es Salaam,3217,49,0.7
2025-04-18,Kapiri Mposhi,2867,44,0.7
2025-04-18,Serenje,1218,18,0.24
2025-04-18,Mpika,2651,41,0.24
2025-04-18,Nakonde,1154,17,0.7
2025-04-18,Tunduma,2147,33,0.85
2025-04-18,Mbeya,1376,21,0.21
2025-04-18,Makambako,981,15,0.17
2025-04-18,Morogoro,2299,35,0.5
2025-04-18,Dar es Salaam,498,7,0.37
2025-04-19,Kapiri Mposhi,2603,40,0.69
2025-04-19,Serenje,1046,16,0.34
2025-04-19,Mpika,3042,47,0.22
2025-04-19,Nakonde,1740,27,0.8
2025-04-19,Tunduma,2062,32,0.71
2025-04-19,Mbeya,1844,28,0.23
2025-04-19,Makambako,3184,49,0.69
2025-04-19,Morogoro,1046,16,0.89
2025-04-19,Dar es Salaam,2322,36,0.42
2025-04-20,Kapiri Mposhi,1506,23,0.63
2025-04-20,Serenje,2219,34,0.69
2025-04-20,Mpika,2638,41,0.25
2025-04-20,Nakonde,3158,49,0.73
2025-04-20,Tunduma,787,12,0.13
2025-04-20,Mbeya,2950,45,0.26
2025-04-20,Makambako,2669,41,0.77
2025-04-20,Morogoro,1789,27,0.8
2025-04-20,Dar es Salaam,1829,28,0.2
2025-04-21,Kapiri Mposhi,2185,34,0.61
2025-04-21,Serenje,2859,44,0.81
2025-04-21,Mpika,674,10,0.21
2025-04-21,Nakonde,2298,35,0.1
2025-04-21,Tunduma,1500,23,0.1
2025-04-21,Mbeya,3059,47,0.23
2025-04-21,Makambako,624,9,0.74
2025-04-21,Morogoro,1058,16,0.68
2025-04-21,Dar es Salaam,814,12,0.28
2025-04-22,Kapiri Mposhi,590,9,0.58
2025-04-22,Serenje,2867,44,0.32
2025-04-22,Mpika,459,7,0.36
2025-04-22,Nakonde,2819,44,0.22
2025-04-22,Tunduma,1233,19,0.37
2025-04-22,Mbeya,1077,16,0.89
2025-04-22,Makambako,1844,28,0.73
2025-04-22,Morogoro,3030,47,0.45
2025-04-22,Dar es Salaam,1331,20,0.2
2025-04-23,Kapiri Mposhi,3146,49,0.45
2025-04-23,Serenje,1879,29,0.4
2025-04-23,Mpika,1836,28,0.58
2025-04-23,Nakonde,2080,32,0.9
2025-04-23,Tunduma,1687,26,0.34
2025-04-23,Mbeya,588,9,0.44
2025-04-23,Makambako,2025,31,0.5
2025-04-23,Morogoro,1752,27,0.19
2025-04-23,Dar es Salaam,2600,40,0.89
2025-04-24,Kapiri Mposhi,3156,49,0.41
2025-04-24,Serenje,3172,49,0.86
2025-04-24,Mpika,1450,22,0.25
2025-04-24,Nakonde,2421,37,0.88
2025-04-24,Tunduma,2674,41,0.12
2025-04-24,Mbeya,2790,43,0.77
2025-04-24,Makambako,2973,46,0.66
2025-04-24,Morogoro,2810,44,0.73
2025-04-24,Dar es Salaam,2233,34,0.78
2025-04-25,Kapiri Mposhi,1557,24,0.8
2025-04-25,Serenje,2132,33,0.47
2025-04-25,Mpika,2936,46,0.74
2025-04-25,Nakonde,1279,20,0.49
2025-04-25,Tunduma,2454,38,0.16
2025-04-25,Mbeya,1669,26,0.83
2025-04-25,Makambako,2755,43,0.15
2025-04-25,Morogoro,1256,19,0.59
2025-04-25,Dar es Salaam,621,9,0.42
2025-04-26,Kapiri Mposhi,2443,38,0.63
2025-04-26,Serenje,1078,16,0.11
2025-04-26,Mpika,2203,34,0.15
2025-04-26,Nakonde,2119,33,0.31
2025-04-26,Tunduma,588,9,0.32
2025-04-26,Mbeya,724,11,0.3
2025-04-26,Makambako,2946,46,0.46
2025-04-26,Morogoro,641,10,0.31
2025-04-26,Dar es Salaam,1451,22,0.49
2025-04-27,Kapiri Mposhi,2566,40,0.14
2025-04-27,Serenje,1492,23,0.21
2025-04-27,Mpika,1257,19,0.43
2025-04-27,Nakonde,2188,34,0.12
2025-04-27,Tunduma,1869,29,0.2
2025-04-27,Mbeya,1579,24,0.85
2025-04-27,Makambako,2222,34,0.76
2025-04-27,Morogoro,1518,23,0.6
2025-04-27,Dar es Salaam,589,9,0.89
2025-04-28,Kapiri Mposhi,1782,28,0.22
2025-04-28,Serenje,2604,41,0.25
2025-04-28,Mpika,2839,44,0.35
2025-04-28,Nakonde,1461,23,0.59
2025-04-28,Tunduma,918,14,0.12
2025-04-28,Mbeya,1177,18,0.28
2025-04-28,Makambako,1138,17,0.55
2025-04-28,Morogoro,1131,17,0.88
2025-04-28,Dar es Salaam,1106,17,0.79
2025-04-29,Kapiri Mposhi,3026,47,0.15
2025-04-29,Serenje,602,9,0.53
2025-04-29,Mpika,1602,25,0.28
2025-04-29,Nakonde,1458,23,0.21
2025-04-29,Tunduma,3000,47,0.78
2025-04-29,Mbeya,502,7,0.79
2025-04-29,Makambako,929,14,0.62
2025-04-29,Morogoro,1123,17,0.15
2025-04-29,Dar es Salaam,2047,32,0.75
2025-04-30,Kapiri Mposhi,1150,18,0.14
2025-04-30,Serenje,2722,43,0.5
2025-04-30,Mpika,3007,47,0.31
2025-04-30,Nakonde,1050,16,0.54
2025-04-30,Tunduma,1758,27,0.71
2025-04-30,Mbeya,2500,39,0.26
2025-04-30,Makambako,3066,48,0.8
2025-04-30,Morogoro,1366,21,0.29
2025-04-30,Dar es Salaam,3039,48,0.7
2025-05-01,Kapiri Mposhi,1488,23,0.12
2025-05-01,Serenje,2627,41,0.47
2025-05-01,Mpika,2890,45,0.33
2025-05-01,Nakonde,2367,37,0.5
2025-05-01,Tunduma,1353,21,0.4
2025-05-01,Mbeya,2666,42,0.76
2025-05-01,Makambako,1893,30,0.17
2025-05-01,Morogoro,764,12,0.26
2025-05-01,Dar es Salaam,387,6,0.33
2025-05-02,Kapiri Mposhi,975,15,0.71
2025-05-02,Serenje,987,15,0.61
2025-05-02,Mpika,1515,24,0.42
2025-05-02,Nakonde,2854,45,0.82
2025-05-02,Tunduma,1929,30,0.23
2025-05-02,Mbeya,965,15,0.55
2025-05-02,Makambako,1444,22,0.79
2025-05-02,Morogoro,702,11,0.82
2025-05-02,Dar es Salaam,2767,43,0.89
2025-05-03,Kapiri Mposhi,1650,26,0.25
2025-05-03,Serenje,1145,18,0.69
2025-05-03,Mpika,1239,19,0.22
2025-05-03,Nakonde,2614,41,0.79
2025-05-03,Tunduma,2320,36,0.69
2025-05-03,Mbeya,1824,29,0.43
2025-05-03,Makambako,2776,44,0.2
2025-05-03,Morogoro,1217,19,0.61
2025-05-03,Dar es Salaam,1988,31,0.9
2025-05-04,Kapiri Mposhi,2292,36,0.44
2025-05-04,Serenje,684,10,0.2
2025-05-04,Mpika,2331,37,0.17
2025-05-04,Nakonde,2806,44,0.81
2025-05-04,Tunduma,659,10,0.25
2025-05-04,Mbeya,707,11,0.76
2025-05-04,Makambako,2202,35,0.19
2025-05-04,Morogoro,2153,34,0.82
2025-05-04,Dar es Salaam,2114,33,0.47
2025-05-05,Kapiri Mposhi,1937,30,0.76
2025-05-05,Serenje,1109,17,0.37
2025-05-05,Mpika,1607,25,0.3
2025-05-05,Nakonde,1927,30,0.18
2025-05-05,Tunduma,1600,25,0.44
2025-05-05,Mbeya,425,6,0.69
2025-05-05,Makambako,796,12,0.7
2025-05-05,Morogoro,1494,23,0.38
2025-05-05,Dar es Salaam,2469,39,0.77
2025-05-06,Kapiri Mposhi,1534,24,0.12
2025-05-06,Serenje,2811,45,0.36
2025-05-06,Mpika,1541,24,0.1
2025-05-06,Nakonde,1709,27,0.24
2025-05-06,Tunduma,2474,39,0.28
2025-05-06,Mbeya,1581,25,0.16
2025-05-06,Makambako,1171,18,0.61
2025-05-06,Morogoro,924,14,0.51
2025-05-06,Dar es Salaam,2656,42,0.39
2025-05-07,Kapiri Mposhi,1035,16,0.13
2025-05-07,Serenje,1553,24,0.62
2025-05-07,Mpika,2887,46,0.8
2025-05-07,Nakonde,1058,17,0.75
2025-05-07,Tunduma,2598,41,0.63
2025-05-07,Mbeya,1790,28,0.83
2025-05-07,Makambako,2198,35,0.19
2025-05-07,Morogoro,549,8,0.79
2025-05-07,Dar es Salaam,1418,22,0.2
2025-05-08,Kapiri Mposhi,2461,39,0.88
2025-05-08,Serenje,2272,36,0.44
2025-05-08,Mpika,720,11,0.44
2025-05-08,Nakonde,706,11,0.83
2025-05-08,Tunduma,2545,41,0.2
2025-05-08,Mbeya,474,7,0.88
2025-05-08,Makambako,2172,34,0.66
2025-05-08,Morogoro,1588,25,0.89
2025-05-08,Dar es Salaam,2432,39,0.76
2025-05-09,Kapiri Mposhi,2268,36,0.61
2025-05-09,Serenje,863,13,0.27
2025-05-09,Mpika,2180,35,0.53
2025-05-09,Nakonde,724,11,0.14
2025-05-09,Tunduma,3017,48,0.76
2025-05-09,Mbeya,1387,22,0.34
2025-05-09,Makambako,421,6,0.14
2025-05-09,Morogoro,454,7,0.8
2025-05-09,Dar es Salaam,2379,38,0.81
2025-05-10,Kapiri Mposhi,1949,31,0.16
2025-05-10,Serenje,1711,27,0.74
2025-05-10,Mpika,2462,39,0.44
2025-05-10,Nakonde,1332,21,0.9
2025-05-10,Tunduma,2329,37,0.56
2025-05-10,Mbeya,1186,19,0.15
2025-05-10,Makambako,1975,31,0.28
2025-05-10,Morogoro,2896,46,0.52
2025-05-10,Dar es Salaam,2753,44,0.64
2025-05-11,Kapiri Mposhi,1572,25,0.15
2025-05-11,Serenje,1640,26,0.51
2025-05-11,Mpika,2153,34,0.35
2025-05-11,Nakonde,1018,16,0.58
2025-05-11,Tunduma,2924,47,0.23
2025-05-11,Mbeya,868,14,0.59
2025-05-11,Makambako,2308,37,0.57
2025-05-11,Morogoro,589,9,0.29
2025-05-11,Dar es Salaam,2191,35,0.21
2025-05-12,Kapiri Mposhi,1316,21,0.41
2025-05-12,Serenje,1079,17,0.62
2025-05-12,Mpika,605,9,0.32
2025-05-12,Nakonde,2069,33,0.51
2025-05-12,Tunduma,1733,28,0.43
2025-05-12,Mbeya,2748,44,0.13
2025-05-12,Makambako,689,11,0.14
2025-05-12,Morogoro,2200,35,0.32
2025-05-12,Dar es Salaam,909,14,0.37
2025-05-13,Kapiri Mposhi,1429,23,0.26
2025-05-13,Serenje,1978,32,0.46
2025-05-13,Mpika,2666,43,0.27
2025-05-13,Nakonde,1225,20,0.1
2025-05-13,Tunduma,1991,32,0.14
2025-05-13,Mbeya,1788,29,0.13
2025-05-13,Makambako,1459,23,0.33
2025-05-13,Morogoro,2610,42,0.74
2025-05-13,Dar es Salaam,2780,45,0.27
2025-05-14,Kapiri Mposhi,2060,33,0.14
2025-05-14,Serenje,2566,42,0.75
2025-05-14,Mpika,1364,22,0.59
2025-05-14,Nakonde,1411,23,0.53
2025-05-14,Tunduma,589,9,0.8
2025-05-14,Mbeya,850,13,0.64
2025-05-14,Makambako,2221,36,0.89
2025-05-14,Morogoro,2024,33,0.84
2025-05-14,Dar es Salaam,366,6,0.41
2025-05-15,Kapiri Mposhi,387,6,0.43
2025-05-15,Serenje,920,15,0.64
2025-05-15,Mpika,1745,28,0.59
2025-05-15,Nakonde,2744,45,0.76
2025-05-15,Tunduma,2986,49,0.86
2025-05-15,Mbeya,998,16,0.79
2025-05-15,Makambako,576,9,0.14
2025-05-15,Morogoro,1250,20,0.13
2025-05-15,Dar es Salaam,2651,43,0.65
2025-05-16,Kapiri Mposhi,2001,32,0.41
2025-05-16,Serenje,873,14,0.4
2025-05-16,Mpika,2520,41,0.44
2025-05-16,Nakonde,1709,28,0.82
2025-05-16,Tunduma,766,12,0.16
2025-05-16,Mbeya,2902,47,0.85
2025-05-16,Makambako,1528,25,0.62
2025-05-16,Morogoro,608,10,0.39
2025-05-16,Dar es Salaam,2632,43,0.58
2025-05-17,Kapiri Mposhi,1464,24,0.61
2025-05-17,Serenje,2257,37,0.24
2025-05-17,Mpika,1124,18,0.82
2025-05-17,Nakonde,2424,40,0.76
2025-05-17,Tunduma,1701,28,0.66
2025-05-17,Mbeya,687,11,0.34
2025-05-17,Makambako,2612,43,0.17
2025-05-17,Morogoro,2784,45,0.13
2025-05-17,Dar es Salaam,1861,30,0.75
2025-05-18,Kapiri Mposhi,1751,29,0.37
2025-05-18,Serenje,2091,34,0.62
2025-05-18,Mpika,2559,42,0.41
2025-05-18,Nakonde,1727,28,0.44
2025-05-18,Tunduma,814,13,0.53
2025-05-18,Mbeya,2803,46,0.73
2025-05-18,Makambako,2644,43,0.41
2025-05-18,Morogoro,1786,29,0.56
2025-05-18,Dar es Salaam,1647,27,0.44
2025-05-19,Kapiri Mposhi,793,13,0.81
2025-05-19,Serenje,2819,46,0.4
2025-05-19,Mpika,1735,28,0.66
2025-05-19,Nakonde,2701,44,0.4
2025-05-19,Tunduma,368,6,0.21
2025-05-19,Mbeya,2277,37,0.71
2025-05-19,Makambako,2540,42,0.12
2025-05-19,Morogoro,1460,24,0.61
